macro_bairro,nome_cliente,bairro_destino,order_datetime,platform,order_mode,distance_km,tempo_preparo_minutos,status,eta_minutes_quote,actual_delivery_minutes,total_brl,classe_pedido,platform_commission_pct,num_itens,satisfacao_nivel
Outros,Yuri Barbosa,Butantã,2024-02-09 11:26:00,whatsapp,retirada,0.21,16,delivered,22,10.0,137.25,combo,0.0,2,5
Santo Amaro,Bruna Pereira,Chácara Santo Antônio,2024-02-09 11:44:00,ifood,delivery,6.67,18,delivered,47,41.7,119.96,combo,0.12,2,5
Brooklin,Rafaela Almeida,Campo Belo,2024-02-09 12:27:00,whatsapp,retirada,0.23,18,delivered,24,21.7,135.56,combo,0.0,5,5
Brooklin,Júlia J. Correia,Brooklin,2024-02-09 12:41:00,ifood,delivery,1.24,18,delivered,34,19.3,105.6,combo,0.12,3,5
Moema,Pedro Vieira,Moema,2024-02-09 13:55:00,ifood,delivery,1.47,38,delivered,40,49.8,266.34,familia,0.16,8,3
Jardins,Larissa O. Costa,Jardins,2024-02-09 14:30:00,ifood,delivery,5.41,42,delivered,43,55.5,231.84,familia,0.12,5,3
Pinheiros,Caio Mendes,Pinheiros,2024-02-09 15:29:00,whatsapp,retirada,0.04,8,delivered,23,8.6,90.01,prato_unico,0.0,2,5
Moema,Olívia Dantas,Moema,2024-02-09 15:57:00,site_proprio,retirada,2.58,18,delivered,29,14.3,129.21,combo,0.0,4,5
Vila Olímpia,Gabriela Batista,Vila Olímpia,2024-02-09 17:09:00,rappi,delivery,3.92,15,delivered,39,26.0,69.44,prato_unico,0.12,3,5
Moema,Felipe Z. Dantas,Moema,2024-02-09 19:31:00,whatsapp,retirada,0.21,11,delivered,21,12.9,72.24,prato_unico,0.0,1,5
Brooklin,Yasmin Gonçalves,Brooklin,2024-02-09 19:44:00,ifood,delivery,1.93,19,delivered,34,22.9,139.08,combo,0.16,3,5
Itaim,Isabela Carvalho,Itaim Bibi,2024-02-09 20:17:00,ifood,delivery,4.22,14,delivered,43,27.2,83.73,prato_unico,0.12,3,5
Jardins,Helena Dantas,Jardins,2024-02-09 20:23:00,rappi,delivery,5.41,29,delivered,45,54.5,163.35,combo,0.16,5,3
Jardins,Bruna Teixeira,Jardim Paulista,2024-02-09 22:07:00,ifood,delivery,5.24,18,delivered,44,33.9,123.83,combo,0.16,3,5
Moema,Natália D. Gomes,Moema,2024-02-09 22:13:00,site_proprio,retirada,0.16,9,delivered,19,14.5,60.71,prato_unico,0.0,1,5
Moema,Eduarda Marques,Ibirapuera,2024-02-09 22:51:00,rappi,delivery,3.81,14,delivered,38,22.1,88.67,prato_unico,0.16,2,5
Vila Mariana,Eduardo G. Ribeiro,Aclimação,2024-02-10 00:27:00,ifood,delivery,5.05,26,delivered,41,47.7,150.18,combo,0.16,4,4
Itaim,Sabrina Costa,Itaim Bibi,2024-02-10 01:15:00,ifood,delivery,4.96,15,delivered,44,39.8,69.46,prato_unico,0.16,2,5
Brooklin,Matheus F. Carvalho,Brooklin,2024-02-10 08:19:00,ifood,delivery,0.1,12,canceled,30,1.2,119.89,combo,0.16,1,5
Vila Mariana,Helena J. Araújo,Paraíso,2024-02-10 09:17:00,ifood,delivery,4.13,13,delivered,45,29.4,44.93,prato_unico,0.12,3,5
Outros,Tatiane Ramos,Liberdade,2024-02-10 12:54:00,ifood,delivery,7.14,9,delivered,49,36.0,97.98,prato_unico,0.12,2,5
Santo Amaro,Tatiane Souza,Santo Amaro,2024-02-10 12:57:00,rappi,delivery,6.78,25,delivered,51,48.5,74.41,prato_unico,0.16,4,4
Vila Mariana,André Melo,Vila Mariana,2024-02-10 13:00:00,ifood,delivery,4.06,17,delivered,38,31.7,104.19,combo,0.12,2,5
Itaim,Rafaela L. Gonçalves,Itaim Bibi,2024-02-10 14:52:00,ifood,delivery,4.1,29,delivered,40,42.2,162.59,combo,0.12,6,4
Pinheiros,Gabriela Melo,Pinheiros,2024-02-10 18:56:00,site_proprio,delivery,6.56,25,delivered,47,49.2,207.8,familia,0.0,4,5
Itaim,Daniela C. Batista,Itaim Bibi,2024-02-10 18:57:00,ifood,delivery,4.42,33,delivered,46,49.9,241.5,familia,0.12,5,4
Santo Amaro,Yasmin Fernandes,Santo Amaro,2024-02-10 20:58:00,whatsapp,retirada,0.27,6,delivered,22,13.1,58.93,prato_unico,0.0,3,5
Vila Olímpia,Caio Almeida,Vila Olímpia,2024-02-11 05:50:00,rappi,delivery,2.7,17,delivered,42,33.0,77.51,prato_unico,0.16,2,5
Pinheiros,Thiago Costa,Pinheiros,2024-02-11 06:03:00,ifood,delivery,4.75,6,delivered,46,23.7,46.13,prato_unico,0.16,1,5
Morumbi,Yasmin Almeida,Real Parque,2024-02-11 09:13:00,ifood,delivery,8.67,17,delivered,46,44.8,88.03,prato_unico,0.16,3,4
Brooklin,Gustavo Z. Gomes,Campo Belo,2024-02-11 09:35:00,ifood,delivery,2.11,44,delivered,44,52.8,234.23,familia,0.16,5,3
Vila Mariana,Felipe Teixeira,Paraíso,2024-02-11 12:12:00,whatsapp,retirada,0.25,8,delivered,24,7.3,57.79,prato_unico,0.0,1,5
Brooklin,Daniel H. Lopes,Brooklin,2024-02-11 13:46:00,whatsapp,retirada,0.29,9,delivered,26,12.6,58.95,prato_unico,0.0,2,5
Pinheiros,João Y. Santos,Pinheiros,2024-02-11 14:25:00,site_proprio,delivery,5.99,35,delivered,53,55.9,240.35,familia,0.0,7,5
Brooklin,Daniela W. Rezende,Brooklin,2024-02-11 14:51:00,site_proprio,delivery,0.39,13,delivered,27,17.0,64.71,prato_unico,0.0,1,5
Moema,Valentina Lopes,Ibirapuera,2024-02-11 17:35:00,ifood,delivery,3.76,20,delivered,45,44.6,80.16,prato_unico,0.16,1,4
Pinheiros,Vítor Ramos,Pinheiros,2024-02-11 18:35:00,ifood,delivery,6.33,7,delivered,42,32.6,86.63,prato_unico,0.12,5,5
Brooklin,Daniela Lima,Campo Belo,2024-02-11 19:00:00,ifood,delivery,1.18,14,delivered,28,17.6,48.17,prato_unico,0.16,1,5
Moema,Gustavo P. Souza,Moema,2024-02-11 19:57:00,ifood,delivery,2.22,16,delivered,39,30.8,92.0,prato_unico,0.12,3,5
Morumbi,Mariana G. Pereira,Real Parque,2024-02-11 20:17:00,whatsapp,retirada,6.16,6,delivered,20,5.2,54.31,prato_unico,0.0,1,5
Vila Olímpia,Valentina Fernandes,Vila Olímpia,2024-02-11 21:33:00,ifood,delivery,2.7,9,delivered,33,11.1,99.66,prato_unico,0.16,4,5
Vila Mariana,Sabrina Mendes,Aclimação,2024-02-12 06:02:00,ifood,delivery,5.27,11,delivered,42,24.2,65.21,prato_unico,0.16,3,5
Brooklin,Larissa Vieira,Campo Belo,2024-02-12 09:24:00,rappi,delivery,0.89,15,delivered,30,10.0,55.31,prato_unico,0.12,3,5
Moema,Lucas O. Borges,Moema,2024-02-12 09:31:00,ifood,delivery,2.58,19,delivered,34,30.6,77.2,prato_unico,0.12,3,5
Moema,Pedro E. Souza,Ibirapuera,2024-02-12 10:27:00,ifood,delivery,2.1,17,delivered,31,25.6,112.1,combo,0.16,3,5
Jardins,Isabela Rezende,Jardins,2024-02-12 10:35:00,site_proprio,delivery,5.93,31,delivered,50,61.7,243.62,familia,0.0,7,4
Brooklin,Eduardo Costa,Brooklin,2024-02-12 13:31:00,ifood,delivery,2.37,9,delivered,34,19.2,57.65,prato_unico,0.16,2,5
Moema,João Lima,Ibirapuera,2024-02-12 13:57:00,ifood,delivery,4.74,27,delivered,42,44.0,222.72,familia,0.16,4,4
Brooklin,Lucas X. Souza,Campo Belo,2024-02-12 13:58:00,whatsapp,retirada,0.17,10,delivered,19,15.6,73.68,prato_unico,0.0,3,5
Santo Amaro,Igor Moreira,Santo Amaro,2024-02-12 14:03:00,rappi,delivery,6.5,23,delivered,45,35.4,220.66,familia,0.16,5,5
Jardins,Eduarda Cavalcanti,Jardim Paulista,2024-02-12 14:16:00,whatsapp,retirada,0.09,24,delivered,30,27.8,131.56,combo,0.0,3,5
Outros,Eduardo D. Costa,Liberdade,2024-02-12 14:57:00,ifood,delivery,5.94,10,delivered,44,34.1,60.92,prato_unico,0.16,1,5
Vila Mariana,João L. Teixeira,Vila Mariana,2024-02-12 18:04:00,rappi,delivery,5.33,27,delivered,46,39.6,91.24,prato_unico,0.12,3,5
Morumbi,Thiago Almeida,Real Parque,2024-02-12 18:14:00,whatsapp,retirada,0.13,16,delivered,24,23.6,130.46,combo,0.0,3,5
Vila Olímpia,Eduardo Barbosa,Vila Olímpia,2024-02-12 18:44:00,site_proprio,delivery,2.7,32,delivered,44,50.4,243.67,familia,0.0,8,4
Outros,Tatiane Z. Duarte,Perdizes,2024-02-12 19:18:00,ifood,delivery,5.24,34,delivered,39,52.3,238.19,familia,0.16,4,3
Vila Olímpia,Nicolas O. Carvalho,Vila Olímpia,2024-02-12 20:27:00,rappi,delivery,2.07,18,delivered,37,29.7,90.85,prato_unico,0.16,4,5
Moema,Nicolas M. Oliveira,Moema,2024-02-12 21:25:00,rappi,delivery,2.43,15,delivered,36,35.8,112.33,combo,0.12,4,4
Brooklin,Daniela Batista,Brooklin,2024-02-13 07:52:00,site_proprio,delivery,0.85,14,delivered,34,19.1,124.02,combo,0.0,3,5
Itaim,Eduarda Machado,Itaim Bibi,2024-02-13 09:38:00,site_proprio,retirada,0.11,21,delivered,29,24.6,124.03,combo,0.0,4,5
Itaim,Igor F. Almeida,Itaim Bibi,2024-02-13 11:50:00,ifood,delivery,4.25,20,delivered,45,33.5,135.98,combo,0.12,3,5
Vila Mariana,Mariana Nogueira,Paraíso,2024-02-13 12:35:00,ifood,delivery,4.72,14,delivered,38,26.5,124.34,prato_unico,0.16,4,5
Jardins,Nicolas Costa,Jardins,2024-02-13 15:13:00,ifood,delivery,4.59,10,delivered,30,26.6,76.2,prato_unico,0.16,4,5
Brooklin,Tatiane C. Miranda,Campo Belo,2024-02-13 15:14:00,ifood,delivery,0.48,6,delivered,33,3.9,59.79,prato_unico,0.12,1,5
Itaim,Rafaela A. Teixeira,Itaim Bibi,2024-02-13 15:57:00,rappi,delivery,3.86,19,delivered,39,33.8,88.87,combo,0.16,2,5
Itaim,Vítor Melo,Itaim Bibi,2024-02-13 19:45:00,site_proprio,retirada,0.29,12,delivered,25,11.5,106.41,combo,0.0,1,5
Vila Mariana,Lucas R. Rezende,Paraíso,2024-02-13 20:06:00,ifood,delivery,5.55,25,delivered,42,47.9,136.71,combo,0.12,5,4
Vila Mariana,Bruna X. Ferreira,Vila Mariana,2024-02-13 21:21:00,whatsapp,retirada,0.29,9,delivered,20,12.3,187.83,familia,0.0,4,5
Moema,Júlia Santos,Moema,2024-02-13 22:04:00,ifood,delivery,3.96,9,delivered,41,28.0,40.68,prato_unico,0.12,1,5
Itaim,Isabela Xavier,Itaim Bibi,2024-02-14 06:35:00,whatsapp,retirada,0.05,9,delivered,17,7.5,118.18,prato_unico,0.0,6,5
Jardins,Carla Rezende,Jardim Paulista,2024-02-14 12:02:00,ifood,delivery,5.4,6,delivered,45,22.8,79.91,prato_unico,0.16,2,5
Vila Olímpia,Gustavo F. Souza,Vila Olímpia,2024-02-14 12:10:00,ifood,delivery,4.43,21,delivered,43,32.6,107.15,prato_unico,0.12,5,5
Moema,Eduardo U. Souza,Ibirapuera,2024-02-14 12:31:00,whatsapp,retirada,0.11,16,delivered,19,15.7,99.83,combo,0.0,2,5
Outros,Rafael O. Barbosa,Perdizes,2024-02-14 12:39:00,ifood,delivery,6.78,15,delivered,48,40.4,125.84,prato_unico,0.12,5,5
Outros,João Almeida,Perdizes,2024-02-14 12:45:00,site_proprio,retirada,0.05,6,delivered,28,10.5,63.54,prato_unico,0.0,3,5
Pinheiros,Henrique A. Barros,Pinheiros,2024-02-14 14:22:00,ifood,delivery,6.35,11,delivered,44,28.1,46.37,prato_unico,0.16,3,5
Brooklin,Ana A. Moreira,Campo Belo,2024-02-14 16:11:00,ifood,delivery,0.92,15,delivered,29,23.8,88.88,prato_unico,0.16,3,5
Moema,Mariana N. Barbosa,Ibirapuera,2024-02-14 19:16:00,ifood,delivery,4.09,14,delivered,42,35.5,74.63,prato_unico,0.16,4,5
Vila Mariana,Lucas Duarte,Aclimação,2024-02-14 20:31:00,site_proprio,delivery,3.91,13,delivered,39,29.1,105.23,prato_unico,0.0,4,5
Brooklin,Bruna Martins,Brooklin,2024-02-15 07:35:00,site_proprio,delivery,0.28,6,delivered,30,16.9,59.08,prato_unico,0.0,2,5
Moema,Nicolas J. Ferreira,Ibirapuera,2024-02-15 09:14:00,ifood,delivery,2.97,16,delivered,38,23.4,131.86,combo,0.12,3,5
Pinheiros,Samuel Miranda,Pinheiros,2024-02-15 10:58:00,site_proprio,retirada,0.16,8,delivered,16,3.0,107.42,prato_unico,0.0,4,5
Jardins,Bruno Machado,Jardins,2024-02-15 12:46:00,ifood,delivery,5.34,28,delivered,45,39.3,114.27,combo,0.16,3,5
Morumbi,Larissa Xavier,Morumbi,2024-02-15 13:14:00,ifood,delivery,8.51,23,delivered,53,60.5,129.91,combo,0.12,4,4
Pinheiros,Felipe Correia,Pinheiros,2024-02-15 13:47:00,ifood,delivery,7.25,21,delivered,42,49.9,145.66,combo,0.16,5,3
Moema,Yasmin T. Moreira,Moema,2024-02-15 13:53:00,ifood,delivery,3.06,9,delivered,35,19.6,130.26,prato_unico,0.12,6,5
Pinheiros,Felipe Rocha,Pinheiros,2024-02-15 15:16:00,ifood,delivery,6.06,11,delivered,41,33.2,48.92,prato_unico,0.16,1,5
Jardins,Daniel P. Mendes,Jardim Paulista,2024-02-15 18:53:00,ifood,delivery,4.62,9,delivered,37,19.3,48.28,prato_unico,0.16,1,5
Vila Olímpia,Daniel Nogueira,Vila Olímpia,2024-02-15 19:06:00,ifood,delivery,3.16,23,delivered,41,47.8,155.57,combo,0.16,5,4
Brooklin,Pedro Moreira,Campo Belo,2024-02-15 19:14:00,rappi,delivery,0.86,9,delivered,34,15.2,68.54,prato_unico,0.16,3,5
Jardins,Carla Lima,Jardim Paulista,2024-02-15 19:26:00,site_proprio,delivery,5.83,7,delivered,44,27.2,107.89,prato_unico,0.0,6,5
Brooklin,Daniel C. Duarte,Campo Belo,2024-02-15 21:23:00,whatsapp,retirada,0.01,10,delivered,27,14.7,54.73,prato_unico,0.0,3,5
Pinheiros,Henrique L. Santos,Pinheiros,2024-02-15 21:40:00,ifood,delivery,5.89,23,canceled,46,46.9,191.61,combo,0.16,6,4
Brooklin,Caio Correia,Brooklin,2024-02-15 21:46:00,whatsapp,retirada,0.05,20,delivered,31,23.2,65.78,prato_unico,0.0,3,5
Jardins,Tatiane Araújo,Jardim Paulista,2024-02-16 01:30:00,ifood,delivery,5.25,25,delivered,45,40.6,125.17,combo,0.12,3,5
Brooklin,Isabela Lopes,Brooklin,2024-02-16 01:37:00,whatsapp,retirada,0.04,15,delivered,23,19.0,91.51,prato_unico,0.0,4,5
Vila Mariana,Bruna Silva,Paraíso,2024-02-16 04:28:00,site_proprio,retirada,0.16,22,delivered,28,34.0,136.29,prato_unico,0.0,5,4
Pinheiros,Helena G. Dias,Pinheiros,2024-02-16 07:51:00,whatsapp,retirada,0.22,16,delivered,26,24.9,42.93,prato_unico,0.0,1,5
Morumbi,Samuel L. Ferreira,Morumbi,2024-02-16 08:38:00,site_proprio,retirada,0.01,21,delivered,29,31.1,146.56,combo,0.0,2,5
Morumbi,Fernanda Ribeiro,Real Parque,2024-02-16 10:56:00,site_proprio,retirada,6.16,16,delivered,28,23.8,134.16,combo,0.0,3,5
Outros,Carla W. Ramos,Perdizes,2024-02-16 10:58:00,rappi,delivery,7.83,12,delivered,51,33.7,85.86,prato_unico,0.12,3,5
Pinheiros,Mariana I. Lopes,Pinheiros,2024-02-16 12:15:00,site_proprio,retirada,0.17,6,delivered,19,6.4,50.03,prato_unico,0.0,2,5
Vila Olímpia,Olívia Fernandes,Vila Olímpia,2024-02-16 19:23:00,rappi,delivery,2.7,13,delivered,35,26.9,88.97,prato_unico,0.16,3,4
Pinheiros,Nicolas Cavalcanti,Pinheiros,2024-02-16 20:56:00,whatsapp,retirada,0.16,14,delivered,25,21.3,80.35,prato_unico,0.0,4,5
Outros,Rafaela Miranda,Bela Vista,2024-02-16 21:18:00,site_proprio,delivery,7.03,6,delivered,42,21.0,73.8,prato_unico,0.0,1,5
Brooklin,Sabrina Santos,Campo Belo,2024-02-16 22:02:00,ifood,delivery,0.1,17,delivered,30,26.7,129.03,combo,0.12,5,5
Outros,Larissa Barbosa,Butantã,2024-02-17 10:23:00,ifood,delivery,6.52,14,delivered,44,35.8,99.5,combo,0.12,1,5
Morumbi,Vítor E. Carvalho,Real Parque,2024-02-17 10:34:00,ifood,delivery,9.38,35,delivered,50,66.8,269.67,familia,0.12,10,3
Brooklin,Bruna Costa,Campo Belo,2024-02-17 11:03:00,rappi,delivery,0.1,22,delivered,32,19.5,122.79,combo,0.16,4,5
Vila Olímpia,Olívia I. Moreira,Vila Olímpia,2024-02-17 11:23:00,ifood,delivery,3.1,20,delivered,40,23.8,127.12,combo,0.16,2,5
Jardins,Tatiane M. Dias,Jardins,2024-02-17 12:23:00,ifood,delivery,5.04,6,delivered,42,27.1,62.83,prato_unico,0.16,1,5
Itaim,Isabela Borges,Itaim Bibi,2024-02-17 13:03:00,site_proprio,retirada,0.2,12,delivered,26,14.1,97.74,prato_unico,0.0,3,5
Vila Mariana,João J. Costa,Aclimação,2024-02-17 13:31:00,ifood,delivery,5.07,13,delivered,45,24.3,43.7,prato_unico,0.16,2,5
Brooklin,Gabriela V. Barbosa,Campo Belo,2024-02-17 17:32:00,rappi,delivery,0.49,22,delivered,32,19.3,163.56,combo,0.16,5,5
Outros,Bruna Barbosa,Perdizes,2024-02-17 18:43:00,site_proprio,delivery,7.69,9,delivered,48,33.2,94.78,prato_unico,0.0,1,5
Vila Mariana,Carla V. Rezende,Paraíso,2024-02-17 19:17:00,ifood,delivery,4.13,16,canceled,42,40.5,146.03,combo,0.12,6,5
Outros,Henrique Oliveira,Liberdade,2024-02-17 19:22:00,ifood,delivery,6.86,12,delivered,49,34.2,98.03,prato_unico,0.16,2,5
Santo Amaro,Pedro Souza,Santo Amaro,2024-02-17 19:26:00,whatsapp,retirada,0.1,12,delivered,21,5.9,55.65,prato_unico,0.0,1,5
Moema,Fernanda N. Santos,Moema,2024-02-17 19:46:00,rappi,delivery,2.21,16,delivered,38,23.6,122.21,combo,0.16,5,5
Brooklin,Patrícia Miranda,Brooklin,2024-02-17 20:11:00,site_proprio,retirada,0.09,13,delivered,19,13.2,65.82,prato_unico,0.0,2,5
Brooklin,Mariana N. Pereira,Campo Belo,2024-02-17 20:40:00,whatsapp,retirada,0.22,13,delivered,25,1.4,106.12,prato_unico,0.0,4,5
Santo Amaro,Valentina Q. Rocha,Santo Amaro,2024-02-17 20:59:00,rappi,delivery,7.32,13,canceled,49,37.8,87.83,prato_unico,0.16,5,5
Jardins,Vítor P. Costa,Jardim Paulista,2024-02-17 21:21:00,ifood,delivery,5.84,6,delivered,45,24.4,45.79,prato_unico,0.12,1,5
Brooklin,Felipe Gomes,Campo Belo,2024-02-17 21:27:00,ifood,delivery,1.36,24,delivered,37,34.3,168.1,combo,0.16,6,4
Jardins,Gabriela P. Ribeiro,Jardins,2024-02-17 21:32:00,site_proprio,retirada,0.22,8,delivered,21,18.6,86.45,prato_unico,0.0,4,5
Jardins,Eduardo I. Ferreira,Jardim Paulista,2024-02-18 06:43:00,ifood,delivery,6.11,18,delivered,43,45.3,233.17,familia,0.16,6,4
Morumbi,Eduarda Rezende,Real Parque,2024-02-18 08:18:00,ifood,delivery,8.73,17,delivered,55,45.7,117.17,prato_unico,0.12,6,5
Vila Mariana,Eduarda Xavier,Vila Mariana,2024-02-18 09:56:00,ifood,delivery,5.0,7,canceled,47,18.4,112.79,combo,0.16,2,5
Santo Amaro,Daniel Vieira,Chácara Santo Antônio,2024-02-18 11:20:00,whatsapp,retirada,0.25,34,delivered,31,50.9,210.72,familia,0.0,4,3
Santo Amaro,Ana D. Batista,Chácara Santo Antônio,2024-02-18 12:11:00,whatsapp,retirada,0.26,16,delivered,22,18.6,106.28,prato_unico,0.0,5,5
Brooklin,Caio J. Moreira,Campo Belo,2024-02-18 13:28:00,site_proprio,delivery,1.43,13,delivered,35,19.0,46.49,prato_unico,0.0,1,5
Brooklin,Júlia P. Dias,Campo Belo,2024-02-18 13:39:00,ifood,delivery,0.1,29,delivered,38,32.1,172.53,combo,0.16,5,5
Moema,Eduardo Xavier,Moema,2024-02-18 13:39:00,whatsapp,retirada,0.06,16,delivered,30,18.7,113.29,combo,0.0,3,5
Santo Amaro,Eduardo S. Borges,Chácara Santo Antônio,2024-02-18 14:01:00,ifood,delivery,6.53,13,delivered,51,34.8,97.33,prato_unico,0.12,3,5
Itaim,Isabela Batista,Itaim Bibi,2024-02-18 14:05:00,ifood,delivery,3.28,21,delivered,36,31.7,123.3,combo,0.16,3,5
Pinheiros,Felipe R. Correia,Pinheiros,2024-02-18 14:14:00,ifood,delivery,6.84,9,canceled,50,29.4,80.23,prato_unico,0.16,3,5
Jardins,Daniel Dias,Jardim Paulista,2024-02-18 15:47:00,ifood,delivery,5.11,15,delivered,41,32.9,84.58,prato_unico,0.16,4,5
Itaim,Bruna Souza,Itaim Bibi,2024-02-18 15:52:00,ifood,delivery,4.04,16,delivered,44,28.0,67.56,prato_unico,0.16,3,5
Brooklin,Pedro B. Marques,Campo Belo,2024-02-18 18:25:00,ifood,delivery,0.58,8,delivered,34,7.1,70.23,combo,0.12,1,5
Moema,Gabriela Dias,Moema,2024-02-18 20:51:00,ifood,delivery,4.22,6,delivered,35,20.9,48.97,prato_unico,0.16,2,5
Morumbi,Carla Ribeiro,Real Parque,2024-02-18 20:51:00,ifood,delivery,9.62,6,delivered,51,36.6,59.94,prato_unico,0.12,2,5
Outros,Nicolas Teixeira,Perdizes,2024-02-18 21:12:00,ifood,delivery,6.5,17,delivered,45,47.3,156.78,combo,0.16,6,4
Jardins,Vítor Moreira,Jardins,2024-02-18 21:36:00,ifood,delivery,5.2,22,delivered,45,27.9,82.76,prato_unico,0.16,1,5
Vila Mariana,Larissa O. Oliveira,Paraíso,2024-02-18 22:26:00,ifood,delivery,4.36,42,delivered,50,65.8,256.91,familia,0.16,8,3
Vila Olímpia,Larissa Batista,Vila Olímpia,2024-02-19 00:44:00,ifood,delivery,3.14,27,delivered,39,46.1,198.37,familia,0.16,4,3
Brooklin,Natália Ribeiro,Campo Belo,2024-02-19 08:13:00,site_proprio,delivery,2.04,9,delivered,36,6.2,65.56,prato_unico,0.0,4,5
Moema,Tatiane B. Ferreira,Moema,2024-02-19 10:35:00,ifood,delivery,4.83,16,delivered,37,31.6,100.0,prato_unico,0.16,4,5
Itaim,Nicolas W. Mendes,Itaim Bibi,2024-02-19 11:33:00,rappi,delivery,3.8,21,delivered,37,33.6,237.55,familia,0.16,5,5
Brooklin,Patrícia Ribeiro,Brooklin,2024-02-19 13:23:00,ifood,delivery,0.1,22,canceled,37,20.72,146.59,combo,0.16,3,4
Outros,Bruno Pereira,Liberdade,2024-02-19 14:32:00,ifood,delivery,8.29,18,delivered,50,42.8,75.05,prato_unico,0.16,1,5
Vila Olímpia,Yasmin Xavier,Vila Olímpia,2024-02-19 14:55:00,ifood,delivery,2.49,6,delivered,32,9.1,64.38,prato_unico,0.16,1,5
Brooklin,Henrique Melo,Campo Belo,2024-02-19 15:56:00,site_proprio,delivery,0.82,16,delivered,41,29.0,88.26,prato_unico,0.0,1,5
Brooklin,Bruno Silva,Campo Belo,2024-02-19 16:03:00,ifood,delivery,1.0,16,delivered,29,25.5,97.78,prato_unico,0.16,4,5
Itaim,Gabriela Duarte,Itaim Bibi,2024-02-19 18:41:00,ifood,delivery,5.19,30,delivered,41,56.2,153.69,combo,0.16,4,3
Itaim,Igor Almeida,Itaim Bibi,2024-02-19 19:34:00,ifood,delivery,4.74,17,delivered,38,37.7,108.79,combo,0.16,2,4
Morumbi,Matheus Dantas,Morumbi,2024-02-19 19:35:00,site_proprio,retirada,0.3,19,delivered,24,16.0,94.77,prato_unico,0.0,6,5
Vila Mariana,Rafael A. Oliveira,Vila Mariana,2024-02-19 21:14:00,ifood,delivery,4.28,13,delivered,35,25.6,60.14,prato_unico,0.16,2,5
Outros,Gustavo L. Melo,Perdizes,2024-02-19 22:56:00,ifood,delivery,6.48,18,delivered,44,43.3,154.26,combo,0.12,6,4
Vila Olímpia,Felipe H. Carvalho,Vila Olímpia,2024-02-20 06:31:00,ifood,delivery,1.94,24,delivered,37,26.6,230.11,familia,0.16,6,5
Brooklin,Daniel Xavier,Brooklin,2024-02-20 07:33:00,whatsapp,retirada,0.11,14,delivered,25,19.2,120.09,prato_unico,0.0,4,5
Itaim,Thiago Ribeiro,Itaim Bibi,2024-02-20 11:15:00,ifood,delivery,3.33,33,delivered,42,45.9,227.62,familia,0.12,5,4
Vila Mariana,Eduarda Araújo,Aclimação,2024-02-20 11:23:00,ifood,delivery,4.88,36,delivered,48,53.6,266.48,familia,0.16,7,4
Jardins,Caio U. Cavalcanti,Jardim Paulista,2024-02-20 11:28:00,ifood,delivery,4.2,21,delivered,35,40.3,140.27,combo,0.12,5,4
Itaim,Rafael Z. Machado,Itaim Bibi,2024-02-20 11:47:00,rappi,delivery,4.98,25,canceled,43,45.9,215.32,familia,0.16,5,4
Vila Mariana,Bruna Melo,Paraíso,2024-02-20 13:37:00,rappi,delivery,5.59,13,delivered,37,30.7,40.46,prato_unico,0.16,1,5
Outros,Olívia E. Gomes,Butantã,2024-02-20 14:08:00,rappi,delivery,6.5,6,delivered,45,33.5,43.67,prato_unico,0.16,1,5
Brooklin,Fernanda Q. Ramos,Campo Belo,2024-02-20 17:30:00,whatsapp,retirada,0.01,6,delivered,19,1.2,92.7,prato_unico,0.0,4,5
Outros,Bruna Moreira,Perdizes,2024-02-20 18:54:00,ifood,delivery,6.71,24,delivered,53,51.3,139.31,combo,0.12,4,5
Vila Mariana,André Vieira,Paraíso,2024-02-20 19:11:00,ifood,delivery,5.14,24,delivered,45,46.1,123.34,prato_unico,0.12,5,4
Vila Olímpia,Samuel Dias,Vila Olímpia,2024-02-21 07:09:00,rappi,delivery,3.13,10,delivered,36,19.6,90.72,prato_unico,0.12,4,5
Santo Amaro,Bruna Carvalho,Chácara Santo Antônio,2024-02-21 08:07:00,rappi,delivery,5.85,15,delivered,48,37.2,66.71,prato_unico,0.12,2,5
Outros,Daniela B. Batista,Liberdade,2024-02-21 09:41:00,ifood,delivery,6.07,6,delivered,41,20.1,87.02,prato_unico,0.12,1,5
Morumbi,Yasmin X. Moreira,Real Parque,2024-02-21 10:08:00,ifood,delivery,8.58,14,delivered,47,47.9,59.79,prato_unico,0.12,1,4
Brooklin,Eduarda Gonçalves,Campo Belo,2024-02-21 10:49:00,ifood,delivery,1.51,15,delivered,35,20.5,89.45,prato_unico,0.16,2,5
Vila Olímpia,Daniela Araújo,Vila Olímpia,2024-02-21 11:24:00,whatsapp,retirada,0.09,15,delivered,24,14.1,65.98,prato_unico,0.0,2,5
Morumbi,Nicolas C. Nogueira,Real Parque,2024-02-21 12:08:00,whatsapp,retirada,0.13,34,delivered,35,43.0,237.84,familia,0.0,5,4
Vila Mariana,Júlia D. Ribeiro,Aclimação,2024-02-21 13:43:00,ifood,delivery,4.51,25,chargeback,45,38.6,163.92,combo,0.16,5,5
Brooklin,Helena Rezende,Campo Belo,2024-02-21 15:53:00,ifood,delivery,0.68,13,delivered,32,9.5,133.53,combo,0.16,4,5
Jardins,Samuel D. Castro,Jardins,2024-02-21 15:59:00,rappi,delivery,4.91,19,delivered,41,29.1,169.88,familia,0.16,4,5
